guide_id,tag_id
6558,7
6563,1264
6563,1265
6563,1266
6563,1267
6563,1268
6571,1269
6571,162
6603,5
6604,7
6609,1273
6609,1274
6609,1275
6612,5
6613,7
6616,1278
6616,1279
6616,1280
6621,364
6634,7
6643,1283
6643,1284
6643,1241
6643,1286
6643,86
6679,7
6682,7
6703,1290
6703,1291
6703,1292
6703,1293
6703,1294
6705,7
6707,7
6708,7
6709,7
6712,7
6713,7
6714,19
6718,19
6735,7
6740,1304
6740,838
6740,1306
6740,1307
6740,1308
6740,1309
6740,1310
6740,812
6740,1312
6740,1313
6740,1314
6749,7
6754,7
6764,1317
6764,1318
6764,1319
6764,237
6764,1321
6764,4
6764,1323
6765,1324
6786,7
6788,7
6789,7
6790,7
6792,1329
6792,131
6792,1331
6792,132
6792,1284
6796,19
6797,7
6800,7
6803,7
6813,7
6824,7
6854,7
6855,7
6861,7
6862,7
6870,7
6890,7
6898,7
6899,7
6915,7
6916,1001
6916,1350
6922,7
6923,7
6932,7
6944,7
6945,7
6956,19
6957,5
6967,7
6968,7
6973,19
6986,7
6989,7
6989,1363
6989,1364
6991,1365
6994,5
6996,7
6997,19
7001,19
7008,7
7011,19
7014,7
7016,7
7017,7
7018,7
7023,19
7025,19
7028,7
7029,7
7045,7
7047,7
7052,1382
7052,224
7052,1384
7052,1385
7052,1386
7052,1387
7052,842
7052,1389
7052,1390
7053,7
7055,7
7057,7
7063,1394
7063,1395
7063,262
7067,5
7071,7
7077,7
7078,7
7082,7
7082,1363
7082,1364
7083,7
7083,1363
7083,1364
7084,7
7084,1363
7084,1364
7086,7
7086,1363
7086,1364
7087,7
7088,7
7090,19
7095,7
7096,5
7097,7
7098,7
7100,7
7102,7
7104,7
7105,7
7106,7
7107,7
7128,7
7147,7
7153,19
7161,7
7162,7
7163,7
7172,7
7208,7
7220,7
7226,1435
7226,1363
7227,1363
7227,1364
7234,7
7236,7
7254,7
7258,7
7260,7
7275,5
7277,1445
7277,1446
7277,1447
7277,1448
7285,1449
7285,1450
7285,1451
7285,1452
7289,7
7293,7
7305,1445
7305,262
7305,1457
7313,1458
7313,1459
7313,1460
7326,1461
7326,1462
7326,1463
7326,1464
7326,1465
7326,111
7333,1445
7333,1468
7333,1469
7333,1470
7333,1471
7333,1472
7337,7
7346,7
7353,1475
7353,1241
7353,1477
7353,281
7383,1479
7383,1480
7383,1481
7383,1482
7404,545
7404,1484
7404,1485
7404,1486
7409,131
7409,1488
7417,7
7420,7
7421,7
7422,1492
7422,1493
7422,19
7422,1495
7422,1181
7422,919
7422,1498
7424,1499
7424,1500
7424,1501
7424,1502
7427,1493
7427,19
7427,1495
7427,1181
7427,919
7427,1498
7427,1509
7427,1510
7428,1511
7428,1512
7428,1493
7428,19
7428,1495
7428,1181
7428,919
7428,1498
7429,1493
7429,19
7429,1495
7429,1181
7429,1523
7429,919
7429,1498
7430,1526
7430,1527
7430,1528
7430,1493
7430,19
7430,1495
7430,1181
7430,919
7430,1534
7430,1498
7430,1536
7430,1537
7431,1493
7431,1539
7431,1540
7431,1541
7431,19
7431,1495
7431,1181
7431,919
7431,1498
7432,1493
7432,19
7432,1495
7432,1181
7432,1551
7432,919
7432,1498
7433,1493
7433,1495
7433,1181
7433,919
7433,1558
7433,1559
7433,1498
7437,19
7438,19
7438,7
7440,7
7442,7
7449,7
7450,19
7453,19
7462,7
7465,19
7466,19
7466,7
7467,19
7468,19
7471,19
7482,7
7486,736
7486,1318
7486,1579
7486,1181
7486,301
7486,1582
7486,1583
7486,1584
7486,381
7486,1323
7486,1587
7509,19
7512,19
7513,19
7514,19
7517,19
7521,7
7523,7
7526,19
7526,7
7527,19
7532,7
7545,224
7545,1600
7545,1601
7545,1602
7545,1603
7545,717
7545,1605
7545,7
7549,7
7550,19
7556,19
7564,19
7576,5
7577,7
7586,19
7587,7
7602,19
7621,1616
7621,1617
7621,1618
7627,7
7633,1620
7633,1621
7645,7
7647,1623
7647,1624
7647,1625
7648,7
7649,19
7651,7
7652,19
7653,19
7654,19
7655,19
7656,19
7657,7
7658,19
7668,19
7673,7
7680,1638
7680,1479
7680,1640
7680,733
7680,1642
7690,7
7692,7
7706,1645
7706,1646
7707,19
7709,19
7710,1649
7710,1650
7710,1651
7711,1652
7724,1317
7724,1654
7741,7
7742,7
7766,1657
7766,1658
7766,1659
7766,1660
7766,1661
7766,1662
7766,1663
7766,1664
7766,1665
7769,7
7777,19
7785,7
7787,569
7798,7
7804,7
7806,340
7806,1673
7806,7
7822,5
7829,7
7830,7
7833,5
7835,7
7836,1680
7836,1681
7836,1682
7836,1683
7836,1684
7837,7
7845,7
7846,1687
7846,1688
7846,131
7846,1690
7846,166
7846,1692
7846,1
7846,1694
7846,1695
7846,1696
7846,347
7846,1698
7846,162
7846,381
7846,111
7846,1702
7846,1703
7846,1704
7846,1684
7855,7
7872,7
7873,7
7876,7
7887,7
7888,7
7898,7
7901,7
7907,7
7908,7
7916,1716
7916,114
7916,1718
7916,1719
7916,330
7916,663
7916,381
7916,307
7918,1724
7918,1725
7918,1726
7919,1727
7919,1728
7919,1729
7958,7
7962,1731
7962,1732
7969,7
7979,1734
7979,23
7979,7
7979,1292
7979,1293
7989,19
7989,7
7990,19
7990,7
7991,19
7991,7
7992,19
7992,7
8010,7
8014,5
8019,19
8020,7
8032,1751
8032,1752
8032,1753
8034,19
8035,19
8036,19
8040,7
8043,7
8046,7
8057,7
8058,1761
8058,1762
8058,1763
8058,7
8058,1765
8069,1734
8069,162
8069,1292
8069,1293
8070,1734
8070,262
8070,1292
8070,1293
8071,1734
8071,256
8071,1292
8071,1293
8077,19
8077,7
8078,19
8079,19
8080,19
8081,19
8082,7
8084,7
8088,7
8100,1787
8100,1788
8103,1789
8103,1790
8104,7
8105,1792
8105,1793
8105,1794
8105,1795
8106,1796
8106,1797
8106,1103
8106,214
8106,216
8108,19
8108,7
8111,7
8112,19
8113,19
8115,19
8115,7
